time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,
2020-04-29T17:01:35.721Z,35.5681,45.0817,11.95,4.8,mb,,39,0.322,0.7,us,us60009ety,2020-07-18T21:57:03.040Z,"22 km E of Jamjam?l, Iraq",earthquake,3.4,3.9,0.046,144,reviewed,us,us,
2020-04-09T05:36:23.316Z,35.4534,44.7837,10,4.1,mb,,124,0.586,0.69,us,us70008xln,2020-06-30T14:03:12.040Z,"10 km SSW of Jamjam?l, Iraq",earthquake,4.3,1.9,0.197,7,reviewed,us,us,
2020-03-16T07:13:58.206Z,35.8099,44.4904,10,4.4,mb,,33,0.816,1.19,us,us60008gdm,2020-05-30T22:17:13.040Z,"32 km SSW of Koysinceq, Iraq",earthquake,3.6,1.9,0.063,72,reviewed,us,us,
2020-03-13T07:02:04.649Z,32.6796,47.3566,10,4.9,mb,,57,2.786,0.59,us,us60008evx,2020-05-30T22:17:05.040Z,"8 km E of Dehlor?n, Iran",earthquake,7.6,1.9,0.07,63,reviewed,us,us,
2020-02-11T05:46:40.088Z,33.577,48.0157,10,4.1,mb,,84,1.728,0.95,us,us70007sf9,2020-04-25T22:19:52.040Z,"10 km NNW of Vas??n, Iran",earthquake,6.7,1.9,0.12,19,reviewed,us,us,
2020-02-02T16:52:59.387Z,34.5751,46.2195,10,4.2,mb,,44,0.678,0.49,us,us70007n4u,2020-04-18T22:10:33.040Z,"35 km ENE of Sarpol-e Z?ah?b, Iran",earthquake,3.9,1.9,0.118,20,reviewed,us,us,
2020-01-29T18:07:31.086Z,37.1334,44.9028,10,4.9,mb,,63,1.567,1.11,us,us60007jb3,2020-04-18T22:09:53.040Z,"20 km WNW of Oshnav?yeh, Iran",earthquake,5.7,1.9,0.056,100,reviewed,us,us,
2020-01-29T05:02:46.888Z,33.6467,45.7389,10,4.4,mb,,99,1.466,0.58,us,us60007isz,2020-04-18T22:09:51.040Z,"20 km ESE of Mandal?, Iraq",earthquake,9.2,1.9,0.1,29,reviewed,us,us,
2020-01-28T20:37:20.625Z,33.8191,45.7813,10,4.9,mb,,49,2.175,0.69,us,us60007ig7,2020-04-11T18:21:03.040Z,"22 km ENE of Mandal?, Iraq",earthquake,6.8,1.8,0.055,104,reviewed,us,us,
2020-01-28T06:52:03.674Z,33.6866,45.7193,10,4.8,mb,,52,1.426,0.79,us,us60007i09,2020-04-11T18:21:01.040Z,"16 km ESE of Mandal?, Iraq",earthquake,6.2,1.9,0.056,100,reviewed,us,us,
2020-01-09T10:51:58.348Z,34.5736,45.5067,4.49,4.9,mb,,51,0.569,0.8,us,us70006wvp,2020-04-02T21:27:57.040Z,"34 km WNW of Sarpol-e Z?ah?b, Iran",earthquake,5.1,4.8,0.084,44,reviewed,us,us,
2019-12-28T10:20:28.455Z,33.013,46.6656,10,4.6,mb,,55,2.24,0.41,us,us70006rv6,2020-03-14T22:23:59.040Z,"48 km ESE of Mehr?n, Iran",earthquake,7.3,1.9,0.08,47,reviewed,us,us,
2019-12-22T11:48:56.995Z,32.5662,48.6042,10,4.3,mb,,103,1.328,0.4,us,us70006x24,2020-03-07T17:48:03.040Z,"26 km NNE of Shahrak-e K?l?r?, Iran",earthquake,8.7,1.9,0.129,17,reviewed,us,us,
2019-11-15T20:49:20.992Z,29.9164,47.8006,10,4.1,mb,,115,5.475,0.9,us,us700068m6,2020-02-07T20:21:34.040Z,"17 km SW of Umm Qa?r, Iraq",earthquake,8.4,2,0.174,10,reviewed,us,us,
2019-11-15T11:47:38.641Z,29.8401,47.683,10,4.1,mb,,77,5.516,0.47,us,us70006bm1,2020-02-07T20:21:27.040Z,"31 km SW of Umm Qa?r, Iraq",earthquake,7.4,1.9,0.151,12,reviewed,us,us,
2019-11-07T23:07:17.422Z,36.7464,45.2173,10,4.4,mb,,76,1.131,0.73,us,us600068wr,2020-02-01T23:21:52.040Z,"8 km NE of Piranshahr, Iran",earthquake,5.4,1.9,0.072,55,reviewed,us,us,
2019-11-03T13:24:58.325Z,33.6377,46.3906,10,4.4,mb,,102,1.576,0.28,us,us60006ap8,2020-01-18T20:00:46.040Z,"2 km W of ?l?m, Iran",earthquake,5.7,2,0.203,7,reviewed,us,us,
2019-11-01T08:20:57.175Z,32.6933,48.1582,10,4.5,mb,,59,3.154,0.78,us,us700061xb,2020-01-18T20:00:52.040Z,"47 km NW of Shahrak-e K?l?r?, Iran",earthquake,6.6,1.6,0.088,38,reviewed,us,us,
2019-10-28T14:13:03.820Z,34.3827,47.5464,10,4.4,mb,,60,1.672,1.18,us,us600063y2,2020-01-11T21:26:52.040Z,"12 km NNW of Hars?n, Iran",earthquake,8,1.9,0.088,37,reviewed,us,us,
2019-09-26T00:35:31.692Z,33.2873,47.4536,10,4.4,mb,,108,1.312,0.82,us,us70005lg5,2019-12-20T19:02:43.040Z,"17 km NNE of Darreh Shahr, Iran",earthquake,6.6,1.6,0.086,39,reviewed,us,us,
2019-09-17T19:29:56.434Z,35.3317,46.2297,16.09,4.6,mb,,60,0.469,0.92,us,us70005hlq,2019-12-10T17:27:08.040Z,"21 km SSE of Mar?v?n, Iran",earthquake,5.2,3.9,0.054,102,reviewed,us,us,
2019-09-09T22:40:52.641Z,34.3387,45.6771,10,4.3,mb,,122,0.777,0.57,us,us70005hub,2019-11-30T19:36:07.040Z,"21 km SW of Sarpol-e Z?ah?b, Iran",earthquake,6.2,1.9,0.169,10,reviewed,us,us,
2019-08-16T11:31:26.296Z,33.6666,46.9129,10,4,mb,,106,1.751,0.54,us,us700058e7,2019-11-02T15:26:22.040Z,"45 km E of ?l?m, Iran",earthquake,10,1.9,0.144,13,reviewed,us,us,
2019-08-03T00:26:06.921Z,34.5931,46.2472,10,4.2,mb,,69,0.678,0.76,us,us60004zzk,2019-10-19T21:42:06.040Z,"33 km SW of Jav?nr?d, Iran",earthquake,6.3,2,0.098,29,reviewed,us,us,
2019-07-31T20:20:49.927Z,33.177,47.4846,10,4.3,mb,,58,2.425,1.25,us,us60004y79,2019-10-19T21:42:02.040Z,"10 km ENE of Darreh Shahr, Iran",earthquake,6.2,1.9,0.09,35,reviewed,us,us,
2019-07-29T20:47:09.847Z,34.3828,45.644,10,4.7,mb,,115,0.735,0.81,us,us600051fm,2019-10-11T20:12:50.040Z,"21 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,5.9,1.9,0.159,12,reviewed,us,us,
2019-07-17T15:19:32.703Z,34.3355,45.6504,10,4.5,mb,,45,2.672,0.93,us,us70004m8g,2019-10-04T16:37:09.040Z,"23 km SW of Sarpol-e Z?ah?b, Iran",earthquake,6.8,1.9,0.081,45,reviewed,us,us,
2019-07-10T10:56:25.291Z,36.9842,43.3415,10,4.3,mb,,55,1.344,1.04,us,us70004gqm,2019-09-28T20:01:06.040Z,"33 km NE of S?nah, Iraq",earthquake,6.3,1.9,0.103,27,reviewed,us,us,
2019-06-23T16:51:59.868Z,34.4405,45.6199,10,4.7,mb,,50,0.679,0.64,us,us600044vv,2019-09-11T15:19:37.040Z,"22 km W of Sarpol-e Z?ah?b, Iran",earthquake,5,1.9,0.047,137,reviewed,us,us,
2019-06-12T23:21:55.682Z,34.9344,46.482,10,4.1,mb,,62,4.352,0.87,us,us6000407y,2019-09-06T14:25:00.040Z,"15 km NNW of Jav?nr?d, Iran",earthquake,8.9,2,0.106,24,reviewed,us,us,
2019-06-05T03:36:15.632Z,34.4738,45.7379,10,4.6,mb,,93,1.175,0.56,us,us70003vmd,2019-08-27T17:47:33.040Z,"11 km W of Sarpol-e Z?ah?b, Iran",earthquake,9.4,1.9,0.047,135,reviewed,us,us,
2019-06-05T03:33:05.508Z,34.369,45.6153,10,4.7,mb,,67,1.265,0.68,us,us70003vmb,2019-08-27T17:47:33.040Z,"24 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,8.1,1.9,0.055,102,reviewed,us,us,
2019-05-25T18:26:41.112Z,34.8282,45.8045,10,4.2,mb,,62,0.296,0.79,us,us60003s50,2019-08-13T14:30:37.040Z,"41 km N of Sarpol-e Z?ah?b, Iran",earthquake,5.5,1.9,0.088,39,reviewed,us,us,
2019-05-11T10:28:59.929Z,34.9557,45.7333,10,5.2,mww,,50,0.161,0.7,us,us70003jrw,2019-08-01T17:15:10.040Z,"33 km SW of ?alabja, Iraq",earthquake,8.4,1.9,0.066,22,reviewed,us,us,
2019-04-23T10:24:40.161Z,33.5389,45.6743,10,4.3,mb,,77,1.574,0.77,us,us70003alr,2019-07-13T18:42:34.040Z,"25 km SSE of Mandal?, Iraq",earthquake,7.4,1.9,0.079,45,reviewed,us,us,
2019-04-17T20:02:50.521Z,33.1865,46.5098,10,4.6,mb,,68,2.033,0.7,us,us70003829,2019-06-26T20:54:47.040Z,"32 km ENE of Mehr?n, Iran",earthquake,8,1.9,0.05,117,reviewed,us,us,
2019-04-15T07:28:00.285Z,32.7604,46.3064,10,4.2,mb,,118,2.4,0.56,us,us70003bd9,2019-06-20T19:03:40.040Z,"42 km SSE of Mehr?n, Iran",earthquake,8,1.6,0.102,27,reviewed,us,us,
2019-04-15T06:34:32.944Z,34.5492,45.6064,10,4.4,mb,,63,0.574,0.75,us,us7000367n,2019-06-20T19:03:40.040Z,"25 km WNW of Sarpol-e Z?ah?b, Iran",earthquake,4.1,1.8,0.089,37,reviewed,us,us,
2019-04-01T15:33:48.554Z,33.5193,45.5906,10,4.1,mb,,104,1.597,0.88,us,us700033rn,2019-06-08T20:51:42.040Z,"25 km S of Mandal?, Iraq",earthquake,5.9,1.9,0.123,18,reviewed,us,us,
2019-04-01T10:53:35.201Z,33.5222,45.69,10,4.4,mb,,69,1.591,0.9,us,us2000k8gu,2019-06-08T20:51:31.040Z,"28 km SSE of Mandal?, Iraq",earthquake,4.1,1.9,0.092,34,reviewed,us,us,
2019-04-01T10:35:03.898Z,33.4607,45.7308,10,4,mb,,72,1.652,0.77,us,us2000k8gm,2019-06-08T20:51:31.040Z,"35 km SSE of Mandal?, Iraq",earthquake,7.7,2,0.211,6,reviewed,us,us,
2019-04-01T10:16:14.480Z,33.6821,45.7837,10,4.8,mb,,68,1.432,0.75,us,us2000k8g1,2019-06-08T20:51:30.040Z,"22 km ESE of Mandal?, Iraq",earthquake,7.7,1.9,0.041,181,reviewed,us,us,
2019-04-01T10:07:23.671Z,33.5495,45.7739,10,5.3,mww,,48,1.564,1.05,us,us2000k8fr,2019-06-08T20:51:30.040Z,"29 km SE of Mandal?, Iraq",earthquake,6.8,1.8,0.062,25,reviewed,us,us,
2019-03-12T12:06:05.232Z,34.0432,45.425,10,4.5,mb,,55,1.098,0.7,us,us1000je35,2019-06-01T21:24:12.040Z,"34 km NNW of Mandal?, Iraq",earthquake,3.4,1.9,0.056,93,reviewed,us,us,
2019-03-12T12:05:20.113Z,34.2825,45.5083,10,4.3,mb,,126,0.85,0.75,us,us1000jjte,2019-06-01T21:24:26.040Z,"38 km WSW of Sarpol-e Z?ah?b, Iran",earthquake,7.3,1.9,0.126,18,reviewed,us,us,
2019-02-27T16:45:27.950Z,32.9317,47.4934,10,4.1,mb,,77,2.63,1.26,us,us1000jcdy,2019-05-14T18:36:23.040Z,"9 km SE of ?bd?n?n, Iran",earthquake,3.4,1.9,0.103,26,reviewed,us,us,
2019-02-27T05:42:53.096Z,33.0339,47.5653,10,4.6,mb,,57,2.581,0.95,us,us2000jpei,2020-07-10T17:26:46.411Z,"14 km ENE of ?bd?n?n, Iran",earthquake,5.8,1.7,0.071,59,reviewed,us,us,
2019-02-21T09:01:36.720Z,34.775,46.0566,10,4.3,mb,,73,0.439,0.86,us,us1000j9fh,2019-05-11T17:40:31.040Z,"39 km NNE of Sarpol-e Z?ah?b, Iran",earthquake,8.4,1.9,0.119,20,reviewed,us,us,
2019-02-07T05:37:14.950Z,34.1726,45.6014,10,4,mb,,77,0.947,0.43,us,us2000jnc3,2019-04-25T15:31:49.040Z,"40 km SW of Sarpol-e Z?ah?b, Iran",earthquake,6.8,1.9,0.157,11,reviewed,us,us,
2019-01-29T05:18:23.770Z,34.4014,45.1199,10,4.3,mb,,76,3.78,0.88,us,us2000jhcz,2019-04-18T19:09:40.040Z,"35 km SSE of Kifr?, Iraq",earthquake,4.1,2,0.168,10,reviewed,us,us,
2019-01-15T17:07:00.410Z,34.0508,45.5913,10,4,mb,,98,1.068,1.18,us,us2000j45j,2019-04-05T21:40:58.040Z,"33 km N of Mandal?, Iraq",earthquake,6.5,2,0.15,14,reviewed,us,us,
2019-01-14T18:17:59.700Z,34.1417,45.6339,10,4.3,mb,,106,0.975,0.82,us,us2000j3tb,2019-04-02T20:52:55.040Z,"41 km SSW of Sarpol-e Z?ah?b, Iran",earthquake,5.3,1.9,0.111,23,reviewed,us,us,
2019-01-06T14:29:26.230Z,34.2301,45.4634,10,4.1,mb,,119,0.909,0.54,us,us2000j0tw,2019-03-08T17:50:17.040Z,"44 km SW of Sarpol-e Z?ah?b, Iran",earthquake,8.3,2,0.139,14,reviewed,us,us,
2019-01-06T14:15:07.940Z,34.0464,45.6698,10,4.9,mb,,49,1.068,0.61,us,us2000j0tq,2019-03-08T17:50:17.040Z,"34 km NNE of Mandal?, Iraq",earthquake,5.8,1.9,0.06,88,reviewed,us,us,
2019-01-06T14:03:54.950Z,34.064,45.7651,10,4.2,mb,,168,1.051,0.83,us,us2000j7x8,2019-03-08T17:50:23.040Z,"40 km NNE of Mandal?, Iraq",earthquake,7.6,1.9,0.167,14,reviewed,us,us,
2019-01-06T13:55:06.710Z,34.0765,45.5737,10,4.6,mb,,67,1.044,0.86,us,us2000j7wj,2019-03-08T17:50:22.040Z,"36 km N of Mandal?, Iraq",earthquake,8.5,1.9,0.096,32,reviewed,us,us,
2019-01-06T13:54:19.910Z,34.0932,45.5111,7.18,4.6,mb,,165,1.035,0.43,us,us2000j7w1,2019-03-08T17:50:22.040Z,"38 km N of Mandal?, Iraq",earthquake,7.3,4.9,0.098,31,reviewed,us,us,
2019-01-06T13:41:59.060Z,34.1248,45.6794,14,5.6,mww,,40,0.99,0.65,us,us2000j0th,2020-07-10T17:22:11.367Z,"40 km SSW of Sarpol-e Z?ah?b, Iran",earthquake,5.6,1.8,0.059,28,reviewed,us,us,
2019-01-05T19:19:08.760Z,34.6268,46.2505,10,4.2,mb,,69,0.655,0.79,us,us2000j0j8,2019-03-08T17:50:16.040Z,"30 km SW of Jav?nr?d, Iran",earthquake,5.5,1.9,0.124,18,reviewed,us,us,
2019-01-05T05:06:26.940Z,30.6913,48.2484,10,4.2,mb,,72,4.898,0.73,us,us2000j7qa,2019-03-08T17:50:22.040Z,"28 km NNE of Khorramshahr, Iran",earthquake,8.4,2,0.159,11,reviewed,us,us,
2019-01-04T17:17:33.280Z,34.2672,45.7003,10.99,4.2,mb,,73,0.847,0.85,us,us2000j0bh,2019-03-08T17:50:15.040Z,"26 km SW of Sarpol-e Z?ah?b, Iran",earthquake,6.3,5.9,0.128,21,reviewed,us,us,
2018-12-27T22:57:03.130Z,34.4699,45.6522,10,4.2,mb,,168,0.647,0.81,us,us2000iyfe,2019-03-05T17:46:36.040Z,"19 km W of Sarpol-e Z?ah?b, Iran",earthquake,6.4,1.9,0.084,39,reviewed,us,us,
2018-12-24T04:58:48.090Z,32.7317,47.5741,10,4.1,mb,,112,2.834,0.73,us,us2000iwzv,2019-03-05T17:46:31.040Z,"29 km E of Dehlor?n, Iran",earthquake,8.7,1.9,0.106,24,reviewed,us,us,
2018-12-11T15:58:25.740Z,31.3233,48.1834,10,4.1,mb,,93,4.309,0.43,us,us2000iuqg,2019-02-16T22:29:05.040Z,"26 km S of S?sangerd, Iran",earthquake,4.8,1.9,0.151,14,reviewed,us,us,
2018-12-11T08:35:27.140Z,31.2623,48.1591,10,4.6,mb,,68,4.353,0.79,us,us2000isg6,2019-02-16T22:29:04.040Z,"33 km S of S?sangerd, Iran",earthquake,7.7,1.9,0.08,47,reviewed,us,us,
